affiliation1,affiliation2,collaboration
60098464,60009507,11
60009507,60098464,11
60001490,60024724,11
60024724,60001490,11
60006191,60075273,11
60075273,60006191,11
60003892,60027950,11
60027950,60003892,11
60027161,60005681,11
60005681,60027161,11
60030318,60018319,11
60018319,60030318,11
60005248,60017366,11
60017366,60005248,11
60007776,60017366,11
60017366,60007776,11
60003269,60025038,11
60025038,60003269,11
60070034,60025063,11
60025063,60070034,11
60015682,60025272,11
60025272,60015682,11
60003500,60007566,11
60007566,60003500,11
60019118,60026316,11
60026316,60019118,11
60003122,60027950,11
60027950,60003122,11
60027071,60021293,11
60021293,60027071,11
60021726,60009254,10
60009254,60021726,10
60002798,60028333,10
60028333,60002798,10
60029241,60017366,10
60017366,60029241,10
60000745,60027561,10
60027561,60000745,10
60003892,60017366,10
60017366,60003892,10
60027090,60017366,10
60017366,60027090,10
60024652,60013373,10
60013373,60024652,10
60013373,60008134,10
60008134,60013373,10
60024872,60016912,10
60016912,60024872,10
60002765,60017563,10
60017563,60002765,10
60015206,60017366,10
60017366,60015206,10
60098464,60016835,10
60016835,60098464,10
60029158,60025858,10
60025858,60029158,10
60014966,60017161,10
60017161,60014966,10
60033010,60012708,10
60012708,60033010,10
60019499,60014966,10
60014966,60019499,10
60000745,60012708,10
60012708,60000745,10
60021726,60011048,10
60011048,60021726,10
60075274,60022403,10
60022403,60075274,10
60017161,60009860,10
60009860,60017161,10
60022403,60011048,10
60011048,60022403,10
60030162,60021784,10
60021784,60030162,10
60028673,60019722,10
60019722,60028673,10
60027950,60000745,10
60000745,60027950,10
60027950,60031707,10
60031707,60027950,10
60020599,60001490,10
60001490,60020599,10
60013372,60021293,10
60021293,60013372,10
60032882,60007989,10
60007989,60032882,10
60012708,60020536,10
60020536,60012708,10
60033021,60003122,10
60003122,60033021,10
60022195,60028186,10
60028186,60022195,10
60022403,60017563,10
60017563,60022403,10
60027161,60022403,10
60022403,60027161,10
60030318,60005254,10
60005254,60030318,10
60021726,60005681,10
60005681,60021726,10
60025858,60025063,10
60025063,60025858,10
60027950,60013372,10
60013372,60027950,10
60032361,60023643,10
60023643,60032361,10
60030612,60033010,10
60033010,60030612,10
60014096,60004300,10
60004300,60014096,10
60027950,60007278,10
60007278,60027950,10
60030162,60009151,9
60009151,60030162,9
60032179,60012708,9
60012708,60032179,9
60008724,60017366,9
60017366,60008724,9
60017366,60016849,9
60016849,60017366,9
60012708,60026532,9
60026532,60012708,9
60025278,60017366,9
60025278,60013789,9
60017366,60025278,9
60013789,60025278,9
60022195,60009982,9
60009982,60022195,9
60025084,60010574,9
60010574,60025084,9
60017366,60005290,9
60005290,60017366,9
60098464,60018491,9
60018491,60098464,9
60011048,60009253,9
60009253,60011048,9
60003970,60021726,9
60021726,60003970,9
60017366,60025778,9
60025778,60017366,9
60017366,60021784,9
60021784,60017366,9
60098464,60025761,9
60025761,60098464,9
60030162,60021726,9
60021726,60030162,9
60019499,60011048,9
60011048,60019499,9
60021726,60001439,9
60001439,60021726,9
60009860,60098464,9
60098464,60009860,9
60033010,60019647,9
60019647,60033010,9
60015481,60015424,9
60015424,60015481,9
60085104,60085207,9
60085207,60085104,9
60006191,60000745,9
60000745,60006191,9
60000745,60025038,9
60025038,60000745,9
60027090,60030074,9
60030074,60027090,9
60006824,60024724,9
60024724,60006824,9
60098463,60002483,9
60002483,60098463,9
60032144,60013682,9
60013682,60032144,9
60014313,60021726,9
60021726,60014313,9
60025278,60019499,9
60019499,60025278,9
60000745,60010574,9
60010574,60000745,9
60021726,60025111,9
60025111,60021726,9
60026532,60021293,9
60021293,60026532,9
60025038,60009253,9
60025038,60013372,9
60009253,60025038,9
60013372,60025038,9
60015424,60026532,9
60026532,60015424,9
60032442,60027031,9
60027031,60032442,9
60012708,60017563,9
60017563,60012708,9
60025858,60019722,9
60019722,60025858,9
60030318,60023256,9
60023256,60030318,9
60012708,60028218,9
60028218,60012708,9
60025038,60027550,9
60027550,60025038,9
60025272,60011460,9
60011460,60025272,9
60025272,60032315,9
60032315,60025272,9
60002243,60022195,9
60022195,60002243,9
60007278,60003122,9
60003122,60007278,9
60012113,60018567,9
60018567,60012113,9
60027950,60015150,9
60015150,60027950,9
60010818,60027950,9
60027950,60010818,9
60031848,60020040,9
60020040,60031848,9
60000745,60009778,9
60009778,60000745,9
60006541,60008592,8
60008592,60006541,8
60017366,60009254,8
60009254,60017366,8
60008088,60027950,8
60027950,60008088,8
60021293,60032179,8
60032179,60021293,8
60000745,60075274,8
60075274,60000745,8
60030612,60021726,8
60021726,60030612,8
60019118,60000473,8
60000473,60019118,8
60025278,60000745,8
60000745,60025278,8
60014966,60002798,8
60002798,60014966,8
60027950,60029526,8
60029526,60027950,8
60005510,60002798,8
60002798,60005510,8
60015400,60020304,8
60020304,60015400,8
60032942,60085104,8
60085104,60032942,8
60019118,60026638,8
60026638,60019118,8
60018933,60027950,8
60027950,60018933,8
60014966,60027090,8
60027090,60014966,8
60015150,60010818,8
60010818,60015150,8
60013141,60019507,8
60019507,60013141,8
60007174,60025038,8
60025038,60007174,8
60008592,60017161,8
60017161,60008592,8
60024872,60027950,8
60027950,60024872,8
60020304,60017366,8
60017366,60020304,8
60000461,60012708,8
60012708,60000461,8
60005429,60027018,8
60027018,60005429,8
60001490,60085104,8
60085104,60001490,8
60011885,60012113,8
60012113,60011885,8
60011575,60002483,8
60002483,60011575,8
60003122,60021293,8
60021293,60003122,8
60032179,60025038,8
60025038,60032179,8
60025038,60021293,8
60021293,60025038,8
60012708,60030612,8
60030612,60012708,8
60011048,60025038,8
60025038,60011048,8
60025038,60009151,8
60009151,60025038,8
60022195,60020536,8
60020536,60022195,8
60028897,60017592,8
60017592,60028897,8
60018940,60028442,8
60028442,60018940,8
60035865,60001524,8
60001524,60035865,8
60014966,60004923,8
60004923,60014966,8
60074754,60015481,8
60015481,60074754,8
60001359,60012113,8
60012113,60001359,8
60020599,60019984,8
60019984,60020599,8
60002306,60021726,8
60021726,60002306,8
60024266,60015574,8
60015574,60024266,8
60025111,60022195,8
60022195,60025111,8
60030162,60003269,8
60003269,60030162,8
60032315,60031126,8
60031126,60032315,8
60030162,60025038,8
60025038,60030162,8
60033010,60016849,8
60016849,60033010,8
60000745,60021121,8
60021121,60000745,8
60027282,60028442,8
60028442,60027282,8
60001439,60028609,8
60028609,60001439,8
60010348,60000645,8
60000645,60010348,8
60008734,60010023,8
60010023,60008734,8
60028609,60000745,8
60000745,60028609,8
60021293,60030835,8
60030835,60021293,8
60007592,60097745,8
60097745,60007592,8
60023986,60019722,8
60019722,60023986,8
60003269,60033010,8
60033010,60003269,8
60003122,60015150,8
60015150,60003122,8
60014151,60018362,8
60018362,60014151,8
60006288,60003122,8
60003122,60006288,8
60030318,60025063,8
60025063,60030318,8
60022175,60030210,8
60030210,60022175,8
60033010,60025778,8
60025778,60033010,8
60011460,60016247,7
60016247,60011460,7
60009941,60007411,7
60007411,60009941,7
60016849,60015986,7
60015986,60016849,7
60027550,60017366,7
60017366,60027550,7
60000745,60014171,7
60014171,60000745,7
60009253,60016849,7
60016849,60009253,7
60016849,60007903,7
60007903,60016849,7
60009151,60027272,7
60027272,60009151,7
60024941,60012708,7
60012708,60024941,7
60075274,60030162,7
60030162,60075274,7
60031293,60025272,7
60025272,60031293,7
60029526,60019674,7
60019674,60029526,7
60028868,60021199,7
60021199,60028868,7
60007278,60021726,7
60021726,60007278,7
60025278,60010574,7
60010574,60025278,7
60025278,60027950,7
60027950,60025278,7
60008592,60014966,7
60014966,60008592,7
60018008,60030623,7
60030623,60018008,7
60001439,60098464,7
60098464,60001439,7
60017366,60005681,7
60005681,60017366,7
60017366,60006191,7
60006191,60017366,7
60018491,60003970,7
60003970,60018491,7
60013372,60021726,7
60021726,60013372,7
60017366,60030612,7
60030612,60017366,7
60027950,60098463,7
60098463,60027950,7
60017366,60029526,7
60029526,60017366,7
60003467,60015206,7
60015206,60003467,7
60027950,60014313,7
60014313,60027950,7
60012708,60009151,7
60009151,60012708,7
60021784,60030623,7
60030623,60021784,7
60005429,60017366,7
60017366,60005429,7
60032350,60085104,7
60085104,60032350,7
60017161,60003970,7
60003970,60017161,7
60017161,60021726,7
60021726,60017161,7
60029241,60021726,7
60021726,60029241,7
60022195,60006191,7
60006191,60022195,7
60022195,60026532,7
60026532,60022195,7
60018933,60014966,7
60014966,60018933,7
60008950,60029470,7
60029470,60008950,7
60085104,60014808,7
60014808,60085104,7
60001490,60075274,7
60075274,60001490,7
60001881,60098463,7
60098463,60001881,7
60026134,60023610,7
60023610,60026134,7
60005837,60032442,7
60032442,60005837,7
60025084,60019647,7
60019647,60025084,7
60029445,60017366,7
60017366,60029445,7
60098464,60014402,7
60014402,60098464,7
60098464,60024322,7
60024322,60098464,7
60002483,60085104,7
60085104,60002483,7
60021199,60001490,7
60001490,60021199,7
60021293,60007903,7
60007903,60021293,7
60013789,60098464,7
60098464,60013789,7
60031155,60021447,7
60021447,60031155,7
60003970,60025278,7
60025278,60003970,7
60022403,60026303,7
60026303,60022403,7
60032942,60075274,7
60075274,60032942,7
60021726,60009507,7
60009507,60021726,7
60016930,60019499,7
60019499,60016930,7
60004923,60021293,7
60021293,60004923,7
60098464,60019533,7
60019533,60098464,7
60008950,60001481,7
60001481,60008950,7
60006191,60026532,7
60026532,60006191,7
60014313,60026532,7
60026532,60014313,7
60007776,60025038,7
60025038,60007776,7
60033010,60032179,7
60032179,60033010,7
60020304,60025038,7
60025038,60020304,7
60025038,60074754,7
60074754,60025038,7
60011460,60032442,7
60032442,60011460,7
60017366,60017563,7
60017563,60017366,7
60022403,60022195,7
60022195,60022403,7
60002485,60033241,7
60033241,60002485,7
60022195,60005681,7
60005681,60022195,7
60007776,60030612,7
60030612,60007776,7
60025858,60029616,7
60029616,60025858,7
60006824,60022195,7
60022195,60006824,7
60030612,60006320,7
60006320,60030612,7
60032144,60001558,7
60001558,60032144,7
60028333,60015986,7
60015986,60028333,7
60025272,60025403,7
60025403,60025272,7
60009982,60021726,7
60021726,60009982,7
60030612,60030162,7
60030162,60030612,7
60007278,60017366,7
60017366,60007278,7
60025278,60021726,7
60021726,60025278,7
60001422,60009839,7
60009839,60001422,7
60011001,60025272,7
60025272,60011001,7
60000745,60030612,7
60030612,60000745,7
60025272,60005429,7
60005429,60025272,7
60025403,60014652,7
60014652,60025403,7
60021918,60021726,7
60021726,60021918,7
60015424,60025038,7
60025038,60015424,7
60025272,60021178,7
60021178,60025272,7
60012708,60015424,7
60015424,60012708,7
60025111,60025038,7
60025038,60025111,7
60025038,60030612,7
60030612,60025038,7
60027841,60017733,7
60017733,60027841,7
60010065,60029526,7
60029526,60010065,7
60000463,60014171,7
60014171,60000463,7
60000179,60007174,7
60007174,60000179,7
60025858,60027950,7
60027950,60025858,7
60023643,60006222,7
60006222,60023643,7
60007592,60017366,7
60017366,60007592,7
60004300,60007061,7
60007061,60004300,7
60023932,60029420,7
60029420,60023932,7
60029311,60029420,7
60029311,60023932,7
60029420,60029311,7
60023932,60029311,7
60014171,60009226,7
60009226,60014171,7
60016114,60004300,7
60004300,60016114,7
60032361,60006222,7
60006222,60032361,7
60001563,60015150,7
60015150,60001563,7
60031707,60010818,7
60031707,60015150,7
60031707,60003122,7
60031707,60007278,7
60010818,60031707,7
60010818,60003122,7
60010818,60007278,7
60015150,60031707,7
60015150,60007278,7
60003122,60031707,7
60003122,60010818,7
60007278,60031707,7
60007278,60010818,7
60007278,60015150,7
60011226,60023127,7
60023127,60011226,7
60027071,60017366,7
60017366,60027071,7
60009778,60007363,7
60007363,60009778,7
60009254,60024324,7
60024324,60009254,7
60032350,60009914,6
60009914,60032350,6
60021293,60027550,6
60027550,60021293,6
60032179,60075274,6
60075274,60032179,6
60009151,60006297,6
60006297,60009151,6
60000745,60009253,6
60009253,60000745,6
60020273,60015161,6
60015161,60020273,6
60013682,60021293,6
60021726,60010574,6
60010574,60021726,6
60021293,60013682,6
60009151,60030623,6
60030623,60009151,6
60001439,60018933,6
60018933,60001439,6
60021726,60000256,6
60000256,60021726,6
60000256,60031155,6
60031155,60000256,6
60018205,60015206,6
60015206,60018205,6
60028717,60002092,6
60002092,60028717,6
60008592,60021182,6
60021182,60008592,6
60026175,60027950,6
60026175,60017366,6
60027950,60026175,6
60027950,60030623,6
60030623,60027950,6
60017366,60026175,6
60019118,60021726,6
60021726,60019118,6
60018008,60001439,6
60001439,60018008,6
60013372,60009253,6
60009253,60013372,6
60032350,60006191,6
60006191,60032350,6
60011001,60025555,6
60025555,60011001,6
60027165,60017366,6
60017366,60027165,6
60010574,60020536,6
60020536,60010574,6
60030612,60075274,6
60075274,60030612,6
60017366,60001439,6
60001439,60017366,6
60098464,60005510,6
60005510,60098464,6
60011048,60014097,6
60014097,60011048,6
60014662,60010591,6
60010591,60014662,6
60027950,60009253,6
60009253,60027950,6
60008592,60026532,6
60026532,60008592,6
60003269,60016849,6
60016849,60003269,6
60011048,60027950,6
60027950,60011048,6
60007776,60028186,6
60028186,60007776,6
60017161,60028186,6
60028186,60017161,6
60025038,60011460,6
60011460,60025038,6
60025038,60025778,6
60025778,60025038,6
60020304,60006191,6
60006191,60020304,6
60006191,60014300,6
60014300,60006191,6
60027950,60019499,6
60019499,60027950,6
60025038,60005681,6
60005681,60025038,6
60021763,60072347,6
60072347,60021763,6
60005510,60014347,6
60014347,60005510,6
60005455,60025038,6
60025038,60005455,6
60025858,60025641,6
60025641,60025858,6
60022195,60033010,6
60033010,60022195,6
60024322,60025272,6
60025272,60024322,6
60029470,60011019,6
60011019,60029470,6
60023004,60001881,6
60001881,60023004,6
60031031,60030452,6
60030452,60031031,6
60001490,60005558,6
60005558,60001490,6
60075273,60026532,6
60026532,60075273,6
60014171,60006191,6
60006191,60014171,6
60026860,60027561,6
60027561,60026860,6
60028458,60030931,6
60030931,60028458,6
60011001,60098464,6
60098464,60011001,6
60009860,60025278,6
60025278,60009860,6
60032144,60016912,6
60016912,60032144,6
60000745,60014966,6
60014966,60000745,6
60012704,60032330,6
60032330,60012704,6
60030623,60005745,6
60005745,60030623,6
60024322,60025017,6
60025017,60024322,6
60022195,60007776,6
60007776,60022195,6
60005429,60014982,6
60014982,60005429,6
60020304,60027950,6
60027950,60020304,6
60021293,60007592,6
60007592,60021293,6
60025111,60026532,6
60026532,60025111,6
60007363,60001439,6
60001439,60007363,6
60008088,60013792,6
60013792,60008088,6
60075274,60021726,6
60021726,60075274,6
60002483,60006288,6
60006288,60002483,6
60031004,60011019,6
60011019,60031004,6
60022148,60021726,6
60021726,60022148,6
60005429,60012370,6
60012370,60005429,6
60019616,60019499,6
60019499,60019616,6
60000928,60019647,6
60019647,60000928,6
60029311,60027550,6
60027550,60029311,6
60013983,60002798,6
60002798,60013983,6
60008928,60029306,6
60029306,60008928,6
60001881,60028628,6
60028628,60001881,6
60019647,60020547,6
60020547,60019647,6
60009253,60009254,6
60009254,60009253,6
60021726,60013373,6
60013373,60021726,6
60075274,60025038,6
60025038,60075274,6
60025038,60025858,6
60025858,60025038,6
60009151,60032179,6
60032179,60009151,6
60007903,60009253,6
60009253,60007903,6
60027950,60009151,6
60009151,60027950,6
60017366,60012708,6
60012708,60017366,6
60016849,60010574,6
60010574,60016849,6
60015986,60023256,6
60023256,60015986,6
60013372,60030612,6
60030612,60013372,6
60023256,60015300,6
60015300,60023256,6
60022195,60017563,6
60017563,60022195,6
60027550,60005681,6
60005681,60027550,6
60005711,60016849,6
60016849,60005711,6
60008383,60009151,6
60009151,60008383,6
60007903,60007776,6
60007776,60007903,6
60024652,60005711,6
60005711,60024652,6
60027550,60011604,6
60011604,60027550,6
60020661,60020288,6
60020288,60020661,6
60025858,60022195,6
60022195,60025858,6
60003122,60014171,6
60014171,60003122,6
60003500,60009151,6
60009151,60003500,6
60030074,60032361,6
60032361,60030074,6
60029241,60022195,6
60022195,60029241,6
60008734,60011575,6
60011575,60008734,6
60019647,60001439,6
60001439,60019647,6
60020304,60098463,6
60098463,60020304,6
60018163,60021931,6
60021931,60018163,6
60021726,60014439,6
60014439,60021726,6
60011885,60001359,6
60001359,60011885,6
60009860,60073652,6
60073652,60009860,6
60014171,60027950,6
60027950,60014171,6
60021726,60006288,6
60006288,60021726,6
60021918,60027950,6
60027950,60021918,6
60027550,60016849,6
60016849,60027550,6
60020599,60002483,6
60002483,60020599,6
60015150,60022109,6
60022109,60015150,6
60003970,60018933,6
60018933,60003970,6
60022195,60015424,6
60015424,60022195,6
60003381,60025272,6
60025272,60003381,6
60030612,60019647,6
60019647,60030612,6
60019647,60024266,6
60024266,60019647,6
60013323,60022144,6
60022144,60013323,6
60011001,60025017,6
60025017,60011001,6
60010365,60005681,6
60005681,60010365,6
60019499,60022317,6
60022317,60019499,6
60002243,60011460,6
60011460,60002243,6
60003398,60025111,6
60025111,60003398,6
60025488,60033010,6
60033010,60025488,6
60032315,60015682,6
60015682,60032315,6
60003497,60023462,6
60023462,60003497,6
60016849,60020536,6
60020536,60016849,6
60012708,60029311,6
60029311,60012708,6
60025111,60033010,6
60033010,60025111,6
60030612,60027550,6
60027550,60030612,6
60007363,60003398,6
60003398,60007363,6
60030162,60027950,6
60027950,60030162,6
60024621,60014256,6
60014256,60024621,6
60030623,60003500,6
60003500,60030623,6
60025272,60008435,6
60008435,60025272,6
60022195,60030612,6
60030612,60022195,6
60013372,60031707,6
60031707,60013372,6
60010339,60017606,6
60017606,60010339,6
60015481,60013372,6
60013372,60015481,6
60098463,60032385,6
60032385,60098463,6
60003269,60017366,6
60017366,60003269,6
60003500,60026610,6
60026610,60003500,6
60013373,60030553,6
60030553,60013373,6
60022403,60028186,6
60028186,60022403,6
