journal_name,publisher_name,authors,title,date,volume,issue,issn,first_page,last_page,keywords,author_info, affiliation_info
ACM Transactions on Database Systems (TODS),ACM,"Fletcher, George H. L.; Van Den Bussche, Jan; Van Gucht, Dirk; Vansummeren, Stijn",Towards a theory of search queries,11/01/2010,35,4,0362-5915,28,Null,Dataspaces; genericity; search,"['George H. L. Fletcher', '81100337680', 'Jan Van Den Bussche', '81452617021', 'Dirk Van Gucht', '81100432282', 'Stijn Vansummeren', '81324494716']","['Eindhoven University of Technology, The Netherlands', '60032882', 'Hasselt University and Transnational University of Limburg, Belgium', '60010413', 'Indiana University, Bloomington', '60021121', 'Université Libre de Bruxelles, Belgium', '60000145']","['data models', 'dataspaces', 'design', 'genericity', 'languages', 'modal logic', 'query languages', 'search', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Batory, D. S.; Leung, T. Y.; Wise, T. E.",Implementation concepts for an extensible data model and data language,09/01/1988,13,3,0362-5915,231,262,Null,"['D. S. Batory', '81100296626', 'T. Y. Leung', '81100299216', 'T. E. Wise', '81332536126']","['Univ. of Texas at Austin, Austin', '60013372', 'Univ. of California at Los Angeles, Los Angeles', '60027550', 'Univ. of Texas at Austin, Austin', '60013372']","['data manipulation languages', 'data models', 'design', 'evaluation strategies', 'languages', 'nonprocedural languages', 'performance', 'query processing']"
ACM Transactions on Database Systems (TODS),ACM,"Albano, Antonio; Cardelli, Luca; Orsini, Renzo","GALILEO: a strongly-typed, interactive conceptual language",06/01/1985,10,2,0362-5915,230,260,Null,"['Antonio Albano', '81100089140', 'Luca Cardelli', '81100123805', 'Renzo Orsini', '81100571281']","['Univ. di Pisa, Pisa, Italy', '60028868', 'AT&amp;T; Bell Laboratories, Murray Hill, NJ', '60009151', 'Univ. di Pisa, Pisa, Italy', '60028868']","['abstract data types', 'data description languages', 'data manipulation languages', 'data models', 'data types and structures', 'design', 'galileo', 'languages', 'query languages', 'schema and subschema']"
ACM Transactions on Database Systems (TODS),ACM,"Ariav, Gad",A temporally oriented data model,12/01/1986,11,4,0362-5915,499,527,Null,"['Gad Ariav', '81452607970']","['New York Univ., New York, NY', '60021784']","['data manipulation languages', 'data models', 'design', 'languages', 'query languages', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Su, Stanley Y. W.; Lam, Herman; Lo, Der Her",Transformation of data traversals and operations in application programs to account for semantic changes of databases,06/01/1981,6,2,0362-5915,255,294,access pattern; application program conversion; database changes; semantic data model; transformation rules,"['Stanley Y. W. Su', '81451595578', 'Herman Lam', '81100237344', 'Der Her Lo', '81100147125']","['Univ. of Florida, Gainesville', '60013959', 'Univ. of Florida, Gainesville', '60013959', 'Univ. of Florida, Gainesville', '60013959']","['access methods', 'access pattern', 'algorithms', 'application program conversion', 'data models', 'database applications', 'database changes', 'design', 'semantic data model', 'transformation rules']"
ACM Transactions on Database Systems (TODS),ACM,"Clifford, James; Croker, Albert; Tuzhilin, Alexander",On completeness of historical relational query languages,03/01/1994,19,1,0362-5915,64,116,completeness; historical databases; query languages; relational model; temporal databases; temporal grouping; temporal logic,"['James Clifford', '81100235235', 'Albert Croker', '81100400736', 'Alexander Tuzhilin', '81100364633']","['New York Univ., New York, NY', '60021784', 'City Univ. of New York, New York, NY', '60007033', 'New York Univ., New York, NY', '60021784']","['completeness', 'data models', 'historical databases', 'languages', 'query languages', 'query languages', 'relational model', 'temporal databases', 'temporal grouping', 'temporal logic', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Ishikawa, Hiroshi; Suzuki, Fumio; Kozakura, Fumihiko; Makinouchi, Akifumi; Miyagishima, Mika; Izumida, Yoshio; Aoshima, Masaaki; Yamane, Yasuo","The model, language, and implementation of an object-oriented multimedia knowledge base management system",03/01/1993,18,1,0362-5915,1,50,Null,"['Hiroshi Ishikawa', '81100353820', 'Fumio Suzuki', '81100183801', 'Fumihiko Kozakura', '81100061349', 'Akifumi Makinouchi', '81100183835', 'Mika Miyagishima', '81100223466', 'Yoshio Izumida', '81100372478', 'Masaaki Aoshima', '81100579160', 'Yasuo Yamane', '81100647490']","['Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951']","['applications and expert systems', 'data models', 'design', 'languages', 'query languages', 'representations']"
ACM Transactions on Database Systems (TODS),ACM,"McGee, William C.",On user criteria for data model evaluation,12/01/1976,1,4,0362-5915,370,387,data model; data model evaluation; data model selection; hierarchic model; network model; relational model,"['William C. McGee', '81100074111']","['IBM Corp., Palo Alto, CA', '60021293']","['data model', 'data model evaluation', 'data model selection', 'data models', 'design', 'hierarchic model', 'network model', 'relational model']"
ACM Transactions on Database Systems (TODS),ACM,"Dey, Debabrata; Sarkar, Sumit",A probabilistic relational model and algebra,09/01/1996,21,3,0362-5915,339,369,data incompleteness; data uncertainty; probabilistic relation; probability calculus; relational algebra; relational model,"['Debabrata Dey', '81100327360', 'Sumit Sarkar', '81100597695']","['Louisiana State Univ., Baton Rouge', '60007566', 'Louisiana State Univ., Baton Rouge', '60007566']","['algebraic language theory', 'data incompleteness', 'data manipulation languages', 'data models', 'data uncertainty', 'languages', 'probabilistic relation', 'probability calculus', 'query languages', 'relational algebra', 'relational model', 'statistical computing', 'theory', 'uncertainty, fuzzy, and probabilistic reasoning']"
ACM Transactions on Database Systems (TODS),ACM,"Clifford, James; Dyreson, Curtis; Isakowitz, Tomás; Jensen, Christian S.; Snodgrass, Richard Thomas",On the semantics of “now” in databases,06/01/1997,22,2,0362-5915,171,214,Now; SQL; TSQL2; indeterminacy; now-relative value; temporal query languge,"['James Clifford', '81100235235', 'Curtis Dyreson', '81100452755', 'Tomás Isakowitz', '81100103909', 'Christian S. Jensen', '81331495182', 'Richard Thomas Snodgrass', '81452613035']","['New York Univ., New York, NY', '60021784', 'James Cook Univ., Townsville, Australia', '60019870', 'New York Univ., New York, NY', '60021784', 'Aalborg Univ., Aalborg, Denmark', '60022134', 'Univ. of Arizona, Tucson', '60010065']","['data description languages', 'indeterminacy', 'languages', 'now', 'now-relative value', 'performance', 'query processing', 'sql', 'sql', 'temporal query languge', 'tsql2']"
ACM Transactions on Database Systems (TODS),ACM,"Wijsen, Jef",Temporal FDs on complex objects,03/01/1999,24,1,0362-5915,127,176,database constraints; functional dependency; object-identity; temporal databases; time granularity,"['Jef Wijsen', '81100297771']","['University of Antwerp, Department of Mathematics and Computer Science, Universiteitsplein 1, Wilryk, B-2610, Belgium', '60012937']","['database constraints', 'design', 'functional dependency', 'logical design', 'object-identity', 'temporal databases', 'theory', 'time granularity']"
ACM Transactions on Database Systems (TODS),ACM,"Tari, Zahir; Stokes, John; Spaccapietra, Stefano",Object normal forms and dependency constraints for object-oriented schemata,12/01/1997,22,4,0362-5915,513,569,data model; functional and multivalued dependencies; normal forms; object-oriented paradigm,"['Zahir Tari', '81100097007', 'John Stokes', '81332529991', 'Stefano Spaccapietra', '81100425176']","['Royal Melbourne Institute of Technology, Melbourne, Australia', '60011362', 'Queensland Univ. of Technology, Brisbane, Australia', '60011019', 'Swiss Federal Institute of Technology, Lausanne, Switzerland', '60023289']","['data model', 'design', 'functional and multivalued dependencies', 'normal forms', 'normal forms', 'object-oriented paradigm', 'systems', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Rosenthal, Arnon; Reiner, David",Tools and transformations—rigorous and otherwise—for practical database design,06/01/1994,19,2,0362-5915,167,211,applications of database theory; computer-aided software engineering; data model translation; database design; database equivalence; design heuristics; entity-relationship model; heuristics; normalization; view integration,"['Arnon Rosenthal', '81100271877', 'David Reiner', '81100302551']","['MITRE Corp., Bedford, MA', '60012564']","['applications of database theory', 'computer-aided software engineering', 'data model translation', 'data models', 'database design', 'database equivalence', 'design', 'design heuristics', 'entity-relationship model', 'heuristics', 'normal forms', 'normalization', 'programmer workbench', 'schema and subschema', 'software libraries', 'theory', 'view integration']"
ACM Transactions on Database Systems (TODS),ACM,"Stonebraker, Michael; Anton, Jeff; Hanson, Eric",Extending a database system with procedures,09/01/1987,12,3,0362-5915,350,376,Null,"['Michael Stonebraker', '81337493529', 'Jeff Anton', '81100563961', 'Eric Hanson', '81100646269']","['Univ. of California, Berkeley', '60025038', 'Univ. of California, Berkeley', '60025038', 'Univ. of California, Berkeley', '60025038']","['data models', 'design', 'query languages', 'query processing']"
ACM Transactions on Database Systems (TODS),ACM,"Abiteboul, Serge; Bourhis, Pierre; Vianu, Victor",Comparing workflow specification languages: A matter of views,05/01/2012,37,2,0362-5915,10,Null,Null,"['Serge Abiteboul', '81100200659', 'Pierre Bourhis', '81435596572', 'Victor Vianu', '81100303884']","['INRIA Saclay, ENS Cachan and University Paris-Sud', '60024652', 'University Paris-Sud and University of Oxford', '60026851', 'University of California, San Diego, CA', '60030612']","['relational databases', 'workflow management']"
ACM Transactions on Database Systems (TODS),ACM,"Stonebraker, Michael",Retrospection on a database system,06/01/1980,5,2,0362-5915,225,240,concurrency; integrity; nonprocedural languages; protection; recovery; relational databases,"['Michael Stonebraker', '81337493529']","['Univ. of California at Berkeley, Berkeley', '60025038']","['concurrency', 'concurrency', 'design', 'integrity', 'languages', 'nonprocedural languages', 'protection', 'recovery', 'recovery and restart', 'relational databases', 'relational databases', 'systems']"
ACM Transactions on Database Systems (TODS),ACM,"Gheerbrant, Amélie; Libkin, Leonid; Sirangelo, Cristina",Naïve Evaluation of Queries over Incomplete Databases,12/30/2014,39,4,0362-5915,31,Null,Incompleteness; certain answers; homomorphisms; naive tables/evaluation; orderings,"['Amélie Gheerbrant', '81467661482', 'Leonid Libkin', '81100307839', 'Cristina Sirangelo', '81100138809']","['LIAFA (Université Paris Diderot - Paris 7 and CNRS), France', '60005711', 'University of Edinburgh, UK', '60027272']","['algorithms', 'certain answers', 'data models', 'homomorphisms', 'incompleteness', 'languages', 'naive tables/evaluation', 'orderings', 'query languages', 'query processing', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Dyreson, Curtis E.; Snodgrass, Richard Thomas",Supporting valid-time indeterminacy,03/01/1998,23,1,0362-5915,1,57,SQL; TSQL2; incomplete information; indeterminacy; probabilistic information; temporal dtabase; valid-time database,"['Curtis E. Dyreson', '81100452755', 'Richard Thomas Snodgrass', '81452613035']","['Aalborg Univ., Aalborg, Denmark', '60022134', 'Univ. of Arizona, Tuscon', '60010065']","['algorithms', 'data models', 'incomplete information', 'indeterminacy', 'languages', 'probabilistic information', 'query languages', 'query processing', 'sql', 'temporal dtabase', 'tsql2', 'valid-time database']"
ACM Transactions on Database Systems (TODS),ACM,"Sugumaran, Vijayan; Storey, Veda C.",The role of domain ontologies in database design: An ontology management and conceptual modeling environment,09/01/2006,31,3,0362-5915,1064,1094,Ontology; conceptual modeling; database design; entity-relationship modeling; integrity constraints; ontology management and database design environment,"['Vijayan Sugumaran', '81100529912', 'Veda C. Storey', '81100376761']","['Oakland University, Rochester, MI', '60011873', 'Georgia State University, Atlanta, GA', '60012387']","['conceptual modeling', 'data models', 'database design', 'design', 'entity-relationship modeling', 'experimentation', 'integrity constraints', 'ontology', 'ontology management and database design environment']"
