journal_name,publisher_name,authors,title,date,volume,issue,issn,first_page,last_page,keywords,author_info, affiliation_info
ACM Transactions on Database Systems (TODS),ACM,"Ghelli, Giorgio; Rose, Kristoffer; Siméon, Jérôme",Commutativity analysis for XML updates,11/01/2008,33,4,0362-5915,29,Null,XML; XQuery; commutativity; optimization; updates,"['Giorgio Ghelli', '81100261191', 'Kristoffer Rose', '81100481162', 'Jérôme Siméon', '81351594728']","['Università di Pisa, Pisa, Italy', '60028868', 'IBM Research, Yorktown Heights, NY', '60011048', 'IBM Research, Yorktown Heights, NY', '60011048']","['algorithms', 'commutativity', 'optimization', 'performance', 'query languages', 'query processing', 'updates', 'xml', 'xquery']"
ACM Transactions on Database Systems (TODS),ACM,"He, Zhen; Lee, Byung Suk; Snapp, Robert",Self-tuning cost modeling of user-defined functions in an object-relational DBMS,09/01/2005,30,3,0362-5915,812,853, K -nearest neighbors; cost modeling; object relational DBMS; quadtree; query optimization; self-tuning,"['Zhen He', '81100331287', 'Byung Suk Lee', '81351609354', 'Robert Snapp', '81100626554']","['La Trobe University, Australia', '60006925', 'University of Vermont, Burlington VT', '60009500', 'University of Vermont, Burlington VT', '60009500']","['k-nearest neighbors', 'algorithms', 'cost modeling', 'object relational dbms', 'performance', 'quadtree', 'query optimization', 'query processing', 'self-tuning']"
ACM Transactions on Database Systems (TODS),ACM,"Chakrabarti, Kaushik; Keogh, Eamonn; Mehrotra, Sharad; Pazzani, Michael",Locally adaptive dimensionality reduction for indexing large time series databases,06/01/2002,27,2,0362-5915,188,228,Dimensionality reduction; indexing; time-series similarity retrieval,"['Kaushik Chakrabarti', '81341488629', 'Eamonn Keogh', '81100209161', 'Sharad Mehrotra', '81331499070', 'Michael Pazzani', '81100408441']","['Microsoft Research, Redmond, WA', '60021726', 'University of California, Riverside, CA', '60029526', 'University of California, Irvine, CA', '60007278', 'University of California, Irvine, CA', '60007278']","['algorithms', 'design', 'dimensionality reduction', 'indexing', 'indexing methods', 'multimedia databases', 'performance', 'search process', 'time-series similarity retrieval']"
ACM Transactions on Database Systems (TODS),ACM,"Mozafari, Barzan; Zeng, Kai; D'antoni, Loris; Zaniolo, Carlo",High-performance complex event processing over hierarchical data,11/01/2013,38,4,0362-5915,21,Null,Complex event processing; JSON; XML; big data analytics; visibly pushdown automata,"['Barzan Mozafari', '81351594251', 'Kai Zeng', '81363599999', ""Loris D'antoni"", '81384602146', 'Carlo Zaniolo', '81100417054']","['Massachusetts Institute of Technology', '60022195', 'University of California, Los Angeles', '60027550', 'University of Pennsylvania', '60006297', 'University of California, Los Angeles', '60027550']","['algorithms', 'big data analytics', 'complex event processing', 'design', 'json', 'languages', 'performance', 'query languages', 'visibly pushdown automata', 'xml']"
ACM Transactions on Database Systems (TODS),ACM,"Hwang, Seung-won; Chang, Kevin Chen-chuan",Optimizing top-k queries for middleware access: A unified cost-based approach,03/01/2007,32,1,0362-5915,5,Null,Top-k query processing; middlewares,"['Seung-won Hwang', '81100581410', 'Kevin Chen-chuan Chang', '81451592807']","['Pohang University of Science and Technology, Gyungbuk, Korea', '60032330', 'University of Illinois at Urbana-Champaign, Urbana, IL', '60000745']","['algorithms', 'middlewares', 'performance', 'performance evaluation', 'query processing', 'retrieval models', 'top-k query processing']"
ACM Transactions on Database Systems (TODS),ACM,"Zhang, Rui; Qi, Jianzhong; Stradling, Martin; Huang, Jin",Towards a Painless Index for Spatial Objects,10/07/2014,39,3,0362-5915,19,Null,Spatial databases; mapping-based indexing; space-filling curves; window queries,"['Rui Zhang', '91458611968', 'Jianzhong Qi', '81490658396', 'Martin Stradling', '81477644463', 'Jin Huang', '91958617392']","['The University of Melbourne, Australia', '60026553', 'The University of Melbourne, Australia', '60026553', 'The University of Melbourne, Australia', '60026553', 'The University of Melbourne, Australia', '60026553']","['algorithms', 'content analysis and indexing', 'mapping-based indexing', 'performance', 'space-filling curves', 'spatial databases', 'window queries']"
ACM Transactions on Database Systems (TODS),ACM,"Chen, Su; Nascimento, Mario A.; Ooi, Beng Chin; Tan, Kian-Lee",Continuous online index tuning in moving object databases,07/01/2010,35,3,0362-5915,17,Null,Data distribution; index tuning; location-based services; moving object indexing; self-tuning,"['Su Chen', '81388600930', 'Mario A. Nascimento', '81100522737', 'Beng Chin Ooi', '81100202401', 'Kian-Lee Tan', '81451597529']","['National University of Singapore, Singapore, Republic of Singapore', '60017161', 'University of Alberta, Edmonton, Alberta', '60030835', 'National University of Singapore, Singapore, Republic of Singapore', '60017161', 'National University of Singapore, Singapore, Republic of Singapore', '60017161']","['algorithms', 'data distribution', 'design', 'experimentation', 'general', 'index tuning', 'indexing methods', 'location-based services', 'moving object indexing', 'performance', 'self-tuning', 'spatial databases and gis']"
ACM Transactions on Database Systems (TODS),ACM,"Hsu, Windsor W.; Smith, Alan Jay; Young, Honesty C.",I/O reference behavior of production database workloads and the TPC benchmarks—an analysis at the logical level,03/01/2001,26,1,0362-5915,96,143,I/O; TPC benchmarks; caching; locality; prefetching; production database workloads; reference behavior; sequentiality; workload characterization,"['Windsor W. Hsu', '81451593658', 'Alan Jay Smith', '81385600489', 'Honesty C. Young', '81339539306']","['Univ. of California, Berkeley, IBM Almaden Research Center, San Jose, CA', '60009253', 'Univ. of California, Berkeley, IBM Almaden Research Center, San Jose, CA', '60009253', 'IBM Almaden Research Center, San Jose, CA', '60009253']","['algorithms', 'benchmarks', 'caching', 'design', 'i/o', 'locality', 'performance', 'performance evaluation', 'prefetching', 'production database workloads', 'reference behavior', 'sequentiality', 'storage hierarchies', 'tpc benchmarks', 'workload characterization']"
ACM Transactions on Database Systems (TODS),ACM,"Marian, Amélie; Bruno, Nicolas; Gravano, Luis",Evaluating top- k queries over web-accessible databases,06/01/2004,29,2,0362-5915,319,362,Parallel query processing; query optimization; top- k query processing; web databases.,"['Amélie Marian', '81100373640', 'Nicolas Bruno', '81100153307', 'Luis Gravano', '81100495046']","['Columbia University, New York, NY', '60030162', 'Microsoft Research, Redmond, Washington, WA', '60021726', 'Columbia University, New York, NY', '60030162']","['algorithms', 'measurement', 'parallel query processing', 'performance', 'performance evaluation', 'query optimization', 'query processing', 'retrieval models', 'top-k query processing', 'web databases.', 'web-based services']"
ACM Transactions on Database Systems (TODS),ACM,"Sasha, Dennis; Lenzerini, Maurizio; Özsoyoǧlu, Z. Meral",Foreword to TODS SIGMOD/PODS 2008 special issue,12/01/2009,34,4,0362-5915,19,Null,Null,"['Dennis Sasha', '81448595793', 'Maurizio Lenzerini', '81313483659', 'Z. Meral Özsoyoǧlu', '81100289424']",[],[]
ACM Transactions on Database Systems (TODS),ACM,"Andries, Marc; Cabibbo, Luca; Paredaens, Jan; van den Bussche, Jan",Applying an update method to a set of receivers,03/01/2001,26,1,0362-5915,1,40,database update; order independence; parallel update; relational algebra; schema coloring,"['Marc Andries', '81100648419', 'Luca Cabibbo', '81100575647', 'Jan Paredaens', '81100102693', 'Jan van den Bussche', '81452617021']","['University of Antwerp', '60012937', 'Universita di Roma Tre', '60012630', 'University of Antwerp', '60012937', 'Limburgs Universitair Centrum', '60010413']","['algorithms', 'database update', 'general', 'languages', 'object-oriented databases', 'order independence', 'parallel update', 'relational algebra', 'schema coloring', 'theory', 'verification']"
ACM Transactions on Database Systems (TODS),ACM,"Ivanova, Milena G.; Kersten, Martin L.; Nes, Niels J.; Gonçalves, Romulo A.P.",An architecture for recycling intermediates in a column-store,11/01/2010,35,4,0362-5915,24,Null,Caching; column-stores; database kernels,"['Milena G. Ivanova', '81100244671', 'Martin L. Kersten', '81337490480', 'Niels J. Nes', '81100001972', 'Romulo A.P. Gonçalves', '81388594630']","['Centrum Wiskunde &amp; Informatica, The Netherlands', '60011575', 'Centrum Wiskunde &amp; Informatica, The Netherlands', '60011575', 'Centrum Wiskunde &amp; Informatica, The Netherlands', '60011575', 'Centrum Wiskunde &amp; Informatica, The Netherlands', '60011575']","['caching', 'column-stores', 'database kernels', 'design', 'management', 'performance', 'query processing']"
ACM Transactions on Database Systems (TODS),ACM,"Madden, Samuel R.; Franklin, Michael J.; Hellerstein, Joseph M.; Hong, Wei",TinyDB: an acquisitional query processing system for sensor networks,03/01/2005,30,1,0362-5915,122,173,Query processing; data acquisition; sensor networks,"['Samuel R. Madden', '81100092270', 'Michael J. Franklin', '81452614168', 'Joseph M. Hellerstein', '81406597364', 'Wei Hong', '81100648685']","['Massachusetts Institute of Technology, Cambridge, MA', '60022195', 'University of California, Berkeley, Berkeley, CA', '60025038', 'University of California, Berkeley, Berkeley, CA', '60025038', 'Intel Research, Berkeley, CA', '60074754']","['data acquisition', 'distributed databases', 'query languages', 'query processing', 'query processing', 'sensor networks', 'sensors']"
ACM Transactions on Database Systems (TODS),ACM,"He, Bingsheng; Lu, Mian; Yang, Ke; Fang, Rui; Govindaraju, Naga K.; Luo, Qiong; Sander, Pedro V.",Relational query coprocessing on graphics processors,12/01/2009,34,4,0362-5915,21,Null,Relational database; graphics processors; join; parallel processing; primitive; sort,"['Bingsheng He', '81409593610', 'Mian Lu', '81350592887', 'Ke Yang', '81406595032', 'Rui Fang', '81350592719', 'Naga K. Govindaraju', '81100383019', 'Qiong Luo', '81339515235', 'Pedro V. Sander', '81319500593']","['Microsoft Research Asia', '60098464', 'Hong Kong University of Science and Technology', '60008592', 'Microsoft Corporation', '60026532', 'Microsoft Corporation', '60026532', 'Hong Kong University of Science and Technology', '60008592', 'Hong Kong University of Science and Technology', '60008592']","['algorithms', 'graphics processors', 'join', 'measurement', 'parallel processing', 'performance', 'primitive', 'query processing', 'relational database', 'relational databases', 'sort']"
ACM Transactions on Database Systems (TODS),ACM,"Gibbons, Phillip B.; Matias, Yossi; Poosala, Viswanath",Fast incremental maintenance of approximate histograms,09/01/2002,27,3,0362-5915,261,298,Approximation; histograms; incremental maintenance; query optimization; sampling,"['Phillip B. Gibbons', '81339501335', 'Yossi Matias', '81100094018', 'Viswanath Poosala', '81100605076']","['Intel Research Pittsburgh, Pittsburgh, PA', '60074754', 'Tel Aviv University, Tel Aviv, Israel', '60005681', 'Bell Laboratories, Murray Hill, NJ', '60009151']","['algorithms', 'approximation', 'experimentation', 'histograms', 'incremental maintenance', 'performance', 'query optimization', 'query processing', 'sampling', 'theory', 'verification']"
ACM Transactions on Database Systems (TODS),ACM,"Melnik, Sergey; Adya, Atul; Bernstein, Philip A.",Compiling mappings to bridge applications and databases,11/01/2008,33,4,0362-5915,22,Null,Mapping; query rewriting; updateable views,"['Sergey Melnik', '81100162806', 'Atul Adya', '81100020515', 'Philip A. Bernstein', '81100134982']","['Microsoft Research, Redmond WA, USA', '60021726', 'Microsoft Research, Redmond WA, USA', '60021726', 'Microsoft Research, Redmond WA, USA', '60021726']","['algorithms', 'database management', 'design', 'languages', 'mapping', 'performance', 'programming languages', 'query rewriting', 'updateable views']"
ACM Transactions on Database Systems (TODS),ACM,"Li, Boduo; Mazur, Edward; Diao, Yanlei; McGregor, Andrew; Shenoy, Prashant",SCALLA: A Platform for Scalable One-Pass Analytics Using MapReduce,12/01/2012,37,4,0362-5915,27,Null,Parallel processing; incremental computation; one-pass analytics,"['Boduo Li', '81464664436', 'Edward Mazur', '81486649549', 'Yanlei Diao', '81100495920', 'Andrew McGregor', '81100422581', 'Prashant Shenoy', '81100334109']","['University of Massachusetts Amherst', '60014313', 'University of Massachusetts Amherst', '60014313', 'University of Massachusetts Amherst', '60014313', 'University of Massachusetts Amherst', '60014313', 'University of Massachusetts Amherst', '60014313']","['algorithms', 'design', 'experimentation', 'incremental computation', 'one-pass analytics', 'parallel processing', 'performance', 'systems']"
ACM Transactions on Database Systems (TODS),ACM,"Hristidis, Vagelis; Hwang, Heasoo; Papakonstantinou, Yannis",Authority-based keyword search in databases,03/01/2008,33,1,0362-5915,1,Null,Authority flow; PageRank; quality experiments; ranking; specificity,"['Vagelis Hristidis', '81337490216', 'Heasoo Hwang', '81314494284', 'Yannis Papakonstantinou', '81100109980']","['Florida International University, Miami, FL', '60015206', 'University of California, San Diego, La Jolla, CA', '60030612', 'University of California, San Diego, La Jolla, CA', '60030612']","['authority flow', 'database applications', 'information search and retrieval', 'pagerank', 'quality experiments', 'ranking', 'specificity']"
ACM Transactions on Database Systems (TODS),ACM,"Sistla, A. Prasad; Wolfson, Ouri; Yesha, Yelena; Sloan, Robert",Towards a theory of cost management for digital libraries and electronic commerce,12/01/1998,23,4,0362-5915,411,452,average case analysis; caching; cost models; demand; on-line services; protocols; subscription; worst case analysis,"['A. Prasad Sistla', '81100609538', 'Ouri Wolfson', '81100392632', 'Yelena Yesha', '81100076767', 'Robert Sloan', '81332528149']","['Univ. of Illinois at Chicago', '60027561', 'Univ. of Illinois at Chicago', '60027561', 'Goddard Space Flight Center, Greenbelt, MD', '60006337', 'Univ. of Illinois at Chicago', '60027561']","['algorithms', 'average case analysis', 'caching', 'commercial services', 'cost models', 'demand', 'dissemination', 'economics', 'miscellaneous', 'on-line services', 'performance', 'protocols', 'subscription', 'theory', 'web-based services', 'worst case analysis']"
ACM Transactions on Database Systems (TODS),ACM,"Liu, Ling; Meersman, Robert",The building blocks for specifying communication behavior of complex objects: an activity-driven approach,06/01/1996,21,2,0362-5915,157,207,activity aggregation; activity patterns; activity specialization; communication behavior; first-order temporal logic; object-oriented databases; synchronization schemes,"['Ling Liu', '81350573402', 'Robert Meersman', '81100310365']","['Univ. Alberta, Edmonton, Alta., Canada', '60030835', 'Free Univ. of Brussels, Brussels, Belgium', '60073757']","['activity aggregation', 'activity patterns', 'activity specialization', 'communication behavior', 'design', 'distributed databases', 'first-order temporal logic', 'languages', 'logical design', 'object-oriented databases', 'semantics', 'specification techniques', 'synchronization schemes', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Peters, Randel J.; Özsu, M. Tamer",An axiomatic model of dynamic schema evolution in objectbase systems,03/01/1997,22,1,0362-5915,75,114,dynamic schema evolution; object database management systems,"['Randel J. Peters', '81100523286', 'M. Tamer Özsu', '81384595752']","['Univ. of Manitoba, Manitoba, Canada', '60009697', 'Univ. of Alberta, Alberta, Canada', '60030835']","['algorithms', 'design', 'dynamic schema evolution', 'logical design', 'management', 'object database management systems', 'schema and subschema', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Kossmann, Donald; Franklin, Michael J.; Drasch, Gerhard; Ag, Wig",Cache investment: integrating query optimization and distributed data placement,12/01/2000,25,4,0362-5915,517,558,cache investment; caching; client-server database systems; data shipping; dynamic data placement; query optimization; query shipping,"['Donald Kossmann', '81100626540', 'Michael J. Franklin', '81452614168', 'Gerhard Drasch', '81100623497', 'Wig Ag', '81100154767']","['Institut fur Informatik, Technical University of Munich, Orleanstr. 34, Munich, D-81667, Germany', '60019722', 'University of California, Berkeley, Berkeley, CA', '60025038']","['algorithms', 'cache investment', 'caching', 'client-server database systems', 'data shipping', 'distributed databases', 'dynamic data placement', 'performance', 'query optimization', 'query shipping', 'relational databases']"
ACM Transactions on Database Systems (TODS),ACM,"Gupta, Nitin; Kot, Lucja; Roy, Sudip; Bender, Gabriel; Gehrke, Johannes; Koch, Christoph",Entangled queries: Enabling declarative data-driven coordination,08/01/2012,37,3,0362-5915,21,Null,Null,"['Nitin Gupta', '81548005665', 'Lucja Kot', '81388591408', 'Sudip Roy', '81470640783', 'Gabriel Bender', '81486641493', 'Johannes Gehrke', '81548005667', 'Christoph Koch', '81548005668']","['Cornell University, Ithaca NY', '60007776', 'Cornell University, Ithaca NY', '60007776', 'Cornell University, Ithaca NY', '60007776', 'Cornell University, Ithaca NY', '60007776', 'Cornell University, Ithaca NY', '60007776', 'EPFL, Lausanne, Switzerland', '60028186']","['languages', 'miscellaneous']"
ACM Transactions on Database Systems (TODS),ACM,"Mohan, C.; Haderle, Don; Lindsay, Bruce; Pirahesh, Hamid; Schwarz, Peter",ARIES: a transaction recovery method supporting fine-granularity locking and partial rollbacks using write-ahead logging,03/01/1992,17,1,0362-5915,94,162,buffer management; latching; locking; space management; write-ahead logging,"['C. Mohan', '81100443671', 'Don Haderle', '81100041131', 'Bruce Lindsay', '81100191891', 'Hamid Pirahesh', '81100134285', 'Peter Schwarz', '81100235822']","['IBM Almaden Research Center, San Jose, CA', '60009253', 'IBM Santa Teresa Lab, San Jose, CA', '60009253', 'IBM Almaden Research Center, San Jose, CA', '60009253', 'IBM Almaden Research Center, San Jose, CA', '60009253', 'IBM Almaden Research Center, San Jose, CA', '60009253']","['algorithms', 'backup procedures', 'backup/recovery', 'buffer management', 'concurrency', 'design', 'latching', 'locking', 'logging and recovery', 'performance', 'recovery and restart', 'reliability', 'space management', 'transaction processing', 'write-ahead logging']"
ACM Transactions on Database Systems (TODS),ACM,"Wolfson, Ouri",The overhead of locking (and commit) protocols in distributed databases,09/01/1987,12,3,0362-5915,453,471,Null,"['Ouri Wolfson', '81100392632']","['The Technion-Israel Institute of Technology, Haifa, Israel', '60022403']","['algorithms', 'concurrency', 'distributed databases', 'measurement', 'performance', 'performance measures', 'theory', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Abbott, Robert K.; Garcia-Molina, Hector",Scheduling real-time transactions: a performance evaluation,09/01/1992,17,3,0362-5915,513,560,deadlines; locking protocols; real-time systems,"['Robert K. Abbott', '81100346183', 'Hector Garcia-Molina', '81100308969']","['Digital Equipment Corp., Littleton, MA', '60020536', 'Stanford Univ., Stanford, CA', '60012708']","['algorithms', 'concurrency', 'deadlines', 'locking protocols', 'performance', 'real-time systems', 'scheduling', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Salem, Kenneth; García-Molina, Héctor; Shands, Jeannie",Altruistic locking,03/01/1994,19,1,0362-5915,117,165,atomicity; locking; scheduling; serializability,"['Kenneth Salem', '81100659627', 'Héctor García-Molina', '81100308969', 'Jeannie Shands', '81100428155']","['Univ. of Maryland, College Park', '60020304', 'Stanford Univ., Stanford, CA', '60012708', 'Univ. of Maryland, College Park', '60020304']","['algorithms', 'atomicity', 'concurrency', 'deadlock avoidance', 'locking', 'performance', 'scheduling', 'serializability', 'theory', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Mohan, C.; Lindsay, B.; Obermarck, R.",Transaction management in the R* distributed database management system,12/01/1986,11,4,0362-5915,378,396,Null,"['C. Mohan', '81100443671', 'B. Lindsay', '81100191891', 'R. Obermarck', '81100328311']","['IBM Almaden Research Center, San Jose, CA', '60009253', 'IBM Almaden Research Center, San Jose, CA', '60009253', 'IMB Almaden Research Center, San Jose, CA', '60009253']","['algorithms', 'concurrency', 'deadlocks', 'design', 'distributed databases', 'distributed systems', 'fault-tolerance', 'logging and recovery', 'recovery and restart', 'reliability', 'synchronization', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Johnson, Theodore; Sasha, Dennis",The performance of current B-tree algorithms,03/01/1993,18,1,0362-5915,51,101,B-trees; concurrent B-trees; concurrent data structures; performance of concurrent algorithms,"['Theodore Johnson', '81381593815', 'Dennis Sasha', '81408593841']","['Univ. of Florida, Gainesville', '60013959', 'New York Univ., New York, NY', '60021784']","['algorithms', 'b-trees', 'concurrent b-trees', 'concurrent data structures', 'experimentation', 'measurement', 'performance', 'performance of concurrent algorithms', 'retrieval models', 'search process', 'sorting and searching', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Tay, Y. C.; Goodman, Nathan; Suri, R.",Locking performance in centralized databases,12/01/1985,10,4,0362-5915,415,462,Null,"['Y. C. Tay', '81100082783', 'Nathan Goodman', '81100004727', 'R. Suri', '81332530505']","['National Univ. of Singapore, Kent Ridge, Republic of Singapore', '60017161', 'Harvard Univ., Cambridge, MA', '60009982', 'Harvard Univ., Cambridge, MA', '60009982']","['algorithms', 'centralized networks', 'deadlock avoidance', 'measurement', 'modeling techniques', 'performance', 'theory', 'transaction processing', 'verification']"
ACM Transactions on Database Systems (TODS),ACM,"Ibaraki, Toshihide; Kameda, Tiko; Minoura, Toshimi",Serializability with constraints,09/01/1987,12,3,0362-5915,429,452,Null,"['Toshihide Ibaraki', '81100508351', 'Tiko Kameda', '81363602685', 'Toshimi Minoura', '81100444359']","['Department of Applied Mathematics and Physics, Kyoto University, Kyoto, 606 Japan', '60011001', 'School of Computing Science, Simon Fraser University, Burnaby, B.C., Canada V5A 1S6', '60018491', 'Department of Computer Science, Oregon State University, Corvallis, OR', '60013402']","['algorithms', 'theory', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Katoh, Naoki; Ibaraki, Toshihide; Kameda, Tiko",Cautious transaction schedulers with admission control,06/01/1985,10,2,0362-5915,205,229,Null,"['Naoki Katoh', '81100521024', 'Toshihide Ibaraki', '81100508351', 'Tiko Kameda', '81363602685']","['Kobe Univ. of Commerce, Kobe, Japan', '60011418', 'Toyohasi Univ. of Technology, Toyohashi, Japan', '60003497', 'Simon Fraser Univ., British Columbia, Canada', '60018491']","['algorithms', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Hammer, Micael; Shipman, David",Reliability mechanisms for SDD-1: a system for distributed databases,12/01/1980,5,4,0362-5915,431,466,atomicity; distributed databases; recovery; reliability,"['Micael Hammer', '81332503091', 'David Shipman', '81100155669']","['Massachusetts Institute of Technology, Cambridge', '60022195']","['atomicity', 'design', 'distributed databases', 'distributed databases', 'recovery', 'recovery and restart', 'reliability', 'reliability']"
ACM Transactions on Database Systems (TODS),ACM,"Davidson, Susan B.",Optimism and consistency in partitioned distributed database systems,09/01/1984,9,3,0362-5915,456,481,Null,"['Susan B. Davidson', '81100098278']","['University of Pennsylvania', '60006297']","['algorithms', 'distributed databases', 'performance', 'recovery and restart', 'reliability', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Jajodia, S.; Mutchler, David",Dynamic voting algorithms for maintaining the consistency of a replicated database,06/01/1990,15,2,0362-5915,230,280,Null,"['S. Jajodia', '81100609407', 'David Mutchler', '81536878956']","['George Mason Univ., Fairfax, VA', '60018319', 'Univ. of Tennessee, Knoxville', '60015574']","['algorithms', 'design', 'distributed databases', 'distributed databases', 'distributed file systems', 'performance', 'reliability', 'reliability, availability, and serviceability']"
ACM Transactions on Database Systems (TODS),ACM,"Agrawal, D.; El Abbadi, A.",The generalized tree quorum protocol: an efficient approach for managing replicated data,12/01/1992,17,4,0362-5915,689,717,Null,"['D. Agrawal', '81350572364', 'A. El Abbadi', '81100403960']",[],"['algorithms', 'distributed databases', 'economics', 'experimentation', 'measurement', 'network problems', 'network protocols', 'performance', 'trees']"
ACM Transactions on Database Systems (TODS),ACM,"Herlihy, Maurice",Dynamic quorum adjustment for partitioned data,06/01/1987,12,2,0362-5915,170,194,Null,"['Maurice Herlihy', '81100151794']","['Carnegie-Mellon Univ., Pittsburgh, PA', '60027950']","['abstract data types', 'algorithms', 'data types and structures', 'distributed databases', 'distributed file systems', 'fault-tolerance', 'languages', 'reliability', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Abbadi, A. El; Toueg, S.",Maintaining availability in partitioned replicated databases,06/01/1989,14,2,0362-5915,264,290,Null,"['A. El Abbadi', '81100403960', 'S. Toueg', '81100494489']","['Univ. of California, Santa Barbara', '60029241', 'Cornell Univ., Ithaca, NY', '60007776']","['access methods', 'algorithms', 'design', 'distributed databases', 'distributed databases', 'distributed file systems', 'fault-tolerance', 'performance', 'reliability']"
ACM Transactions on Database Systems (TODS),ACM,"Elhardt, Klaus; Bayer, Rudolf",A database cache for high performance and fast restart in database systems,12/05/1984,9,4,0362-5915,503,525,Null,"['Klaus Elhardt', '81337488786', 'Rudolf Bayer', '81100091821']","['Technische Univ. Mu¨nchen, Munich, West Germany', '60019722', 'Technische Univ. Mu¨nchen, Munich, West Germany', '60019722']","['algorithms', 'main memory', 'measurement', 'performance', 'recovery and restart', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Karabeg, Dino; Vianu, Victor",Simplification rules and complete axiomatization for relational update transactions,09/01/1991,16,3,0362-5915,439,475,performance,"['Dino Karabeg', '81100467609', 'Victor Vianu', '81100303884']","['Univ. of California at San Diego, La Jolla', '60030612', 'Univ. of California at San Diego, La Jolla', '60030612']","['algorithms', 'design', 'graph algorithms', 'performance', 'performance', 'theory', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Drenick, P. E.; Smith, E. J.",Stochastic query optimization in distributed databases,06/01/1993,18,2,0362-5915,262,288,distributed query processing; state-transition model; stochastic query optimization,"['P. E. Drenick', '81392610371', 'E. J. Smith', '81392602693']","['Polytechnic Univ., Farmingdale, NY', '60014799', 'Polytechnic Univ., Brooklyn, NY', '60002664']","['algorithms', 'distributed databases', 'distributed query processing', 'linear programming', 'performance', 'query processing', 'retrieval models', 'state-transition model', 'stochastic query optimization', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Polyzois, Christos A.; García-Molina, Héctor",Evaluation of remote backup algorithms for transaction-processing systems,09/01/1994,19,3,0362-5915,423,449,disaster recovery; hot spare; hot standby; remote backup,"['Christos A. Polyzois', '81100273068', 'Héctor García-Molina', '81100308969']","['IBM T. J. Watson Research Center, Yorktown Heights, NY', '60017366', 'Stanford Univ., Stanford, CA', '60012708']","['algorithms', 'backup procedures', 'disaster recovery', 'distributed applications', 'distributed databases', 'fault-tolerance', 'hot spare', 'hot standby', 'logging and recovery', 'performance', 'reliability', 'remote backup', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Bernstein, Philip A.; Goodman, Nathan; Wong, Eugene; Reeve, Christopher L.; Rothnie Jr., James B.",Query processing in a system for distributed databases (SDD-1),12/01/1981,6,4,0362-5915,602,625,distributed databases; query optimization; query processing; relational databases; semijoins,"['Philip A. Bernstein', '81100134982', 'Nathan Goodman', '81100004727', 'Eugene Wong', '81100189239', 'Christopher L. Reeve', '81332522931', 'James B. Rothnie, Jr.', '81100275592']","['Harvard Univ., Cambridge, MA', '60009982', 'Harvard Univ., Cambridge, MA', '60009982', 'Univ. of California at Berkeley, Berkeley', '60025038', 'Massachusetts Institute of technology, Cambridge', '60022195']","['algorithms', 'design', 'distributed databases', 'distributed databases', 'query optimization', 'query processing', 'query processing', 'relational databases', 'relational databases', 'semijoins']"
ACM Transactions on Database Systems (TODS),ACM,"Chomicki, Jan",Efficient checking of temporal integrity constraints using bounded history encoding,06/01/1995,20,2,0362-5915,149,186,active databases; database integrity; integrity constraints; real-time databases; temporal databases; temporal logic; triggers,"['Jan Chomicki', '81100348083']","['Computing and Information Sciences, Kansas State University, Manhattan, KS', '60000689']","['active databases', 'algorithms', 'data description languages', 'database integrity', 'integrity constraints', 'real-time databases', 'security, integrity, and protection', 'temporal databases', 'temporal logic', 'theory', 'triggers']"
ACM Transactions on Database Systems (TODS),ACM,"Trueblood, Robert P.; Hartson, H. Rex; Martin, Johannes J.",MULTISAFE—a modular multiprocessing approach to secure database management,09/01/1983,8,3,0362-5915,382,409,abstract data types; access control; back-end database; intermodule communication; secure database,"['Robert P. Trueblood', '81100370739', 'H. Rex Hartson', '81100488487', 'Johannes J. Martin', '81385597277']","['Virgina Polytechnic Institute and State Univ., Blacksburg', '60027090', 'Virgina Polytechnic Institute and State Univ., Blacksburg', '60027090']","['abstract data types', 'access control', 'back-end database', 'database machines', 'intermodule communication', 'multiple data stream architectures', 'secure database', 'security', 'security and protection', 'storage management', 'systems']"
ACM Transactions on Database Systems (TODS),ACM,"Lomet, David B.; Salzberg, Betty",The hB-tree: a multiattribute indexing method with good guaranteed performance,12/01/1990,15,4,0362-5915,625,658,Null,"['David B. Lomet', '81100104910', 'Betty Salzberg', '81100422514']","['Digital Equipment Corp., Cambridge, MA', '60020536', 'Northeastern Univ., Boston, MA', '60028628']","['access methods', 'design', 'file organization', 'performance', 'trees']"
